cell,engine,mode,payload,batch,writers,bpw,shape,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
group-64w-b10,b0,group,250,10,64,100,perwriter,2,192983,0.3316,3259.8,6481.9,100,2732.3
group-64w-b10,b1,group,250,10,64,100,perwriter,2,182165,0.3513,3295.5,6613.7,100,2889.7
group-64w-b10,b0d,group,250,10,64,100,perwriter,2,198155,0.3230,3203.8,4221.6,100,2692.0
group-64w-b100,b0,group,250,100,64,50,perwriter,0,767780,0.4168,6039.2,18543.8,75,3293.8
group-64w-b100,b1,group,250,100,64,50,perwriter,0,648249,0.4936,9652.6,17738.1,101,3111.3
group-64w-b100,b0d,group,250,100,64,50,perwriter,0,997221,0.3209,5721.6,11056.4,54,3757.2
group-64w-b100,b0d,group,250,100,64,50,perwriter,1,1068979,0.2994,5737.3,9196.6,51,3565.9
group-64w-b100,b1,group,250,100,64,50,perwriter,1,734009,0.4360,7337.3,15227.6,80,3241.6
group-64w-b100,b0,group,250,100,64,50,perwriter,1,846525,0.3780,6250.4,13108.4,61,3520.6
group-64w-b100,b0,group,250,100,64,50,perwriter,2,793711,0.4032,6421.2,14386.8,66,3513.5
group-64w-b100,b1,group,250,100,64,50,perwriter,2,652439,0.4905,9634.1,15363.8,96,3168.2
group-64w-b100,b0d,group,250,100,64,50,perwriter,2,1050577,0.3046,5752.1,9400.1,51,3680.5
